PT4-M_a	PT1-M_a	PT3-M_a	PT1-U_a	PT2-U_a	PT2-M_a	PT5-M_a	PT4-M	PT1-M	PT3-M	PT1-U	PT2-U	PT2-M	PT5-M	TCp2-M	TCw1-E	TCp1-M	TCw4-E	TCw3-E	TCw2-E	Voltage	Motor1	Motor2	Motor3	Motor4	Statestring
207	198	197	196	196	199	197	12	1	0	-1	0	1	-3	81	82	82	82	82	82	15	1000	1000	1000	1000	34576
206	199	197	197	196	199	197	12	1	0	-1	0	1	-3	81	82	82	82	82	82	15	1000	1000	1000	1000	34811
206	199	197	197	196	199	197	12	1	0	-1	0	1	-3	81	82	82	82	82	82	15	1000	1000	1000	1000	34811
206	199	197	197	196	199	197	12	1	0	-1	0	1	-3	81	82	82	82	82	82	15	1000	1000	1000	1000	34811
206	198	197	197	196	199	196	12	1	0	-1	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	35580
206	198	197	197	196	199	196	12	1	0	-1	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	35580
206	198	197	197	196	199	196	12	1	0	-1	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	35580
206	198	198	197	197	198	197	12	1	0	-1	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	36355
206	198	197	197	196	198	196	12	1	0	-1	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	36586
206	198	197	197	196	198	196	12	1	0	-1	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	36586
206	198	197	197	196	198	196	12	1	0	0	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	36586
206	199	197	197	196	199	197	12	1	0	0	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	37366
206	199	197	197	196	199	197	12	1	0	0	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	37366
206	199	197	197	196	199	197	12	1	0	0	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	37366
207	198	197	196	196	199	196	12	1	0	-1	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	38140
205	197	197	197	196	198	197	12	1	0	-1	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	38372
205	197	197	197	196	198	197	12	1	0	-1	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	38372
205	197	197	197	196	198	197	12	1	0	-1	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	38372
206	199	197	197	196	199	196	12	1	0	-1	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	39154
206	197	197	197	196	199	197	12	1	0	-1	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	39386
206	197	197	197	196	199	197	12	1	0	-1	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	39386
206	197	197	197	196	199	197	12	1	0	-1	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	39386
206	199	197	196	197	197	197	12	1	0	-1	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	40160
206	199	197	196	197	197	197	12	1	0	-2	0	0	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	40160
206	199	197	196	197	197	197	12	1	0	-2	0	0	-2	82	82	82	82	82	82	15	1000	1000	1000	1000	40160
193	189	183	183	182	179	183	10	0	-2	-11	-1	-2	-4	82	82	82	82	82	82	15	1000	1000	1000	1000	40941
206	197	197	197	196	199	197	10	0	-2	-11	-1	-2	-4	82	82	82	82	82	82	15	1000	1000	1000	1000	41172
206	197	197	197	196	199	197	10	0	-2	-11	-1	-2	-4	82	82	82	82	82	82	15	1000	1000	1000	1000	41172
206	197	197	197	196	199	197	10	0	-2	-11	-1	-2	-4	82	82	82	82	82	82	15	1000	1000	1000	1000	41172
208	198	197	196	196	199	197	11	0	-2	-12	-1	-2	-4	82	82	82	82	82	82	15	1000	1000	1000	1000	41947
208	198	197	196	196	199	197	11	0	-2	-12	-1	-2	-4	82	82	82	82	82	82	15	1000	1000	1000	1000	41947
208	198	197	196	196	199	197	11	0	-2	-13	-1	-2	-4	82	82	82	82	82	82	15	1000	1000	1000	1000	41947
206	198	199	197	195	199	197	11	0	-1	-12	-2	-2	-4	82	82	82	82	82	82	15	1000	1000	1000	1000	42723
206	198	197	197	196	199	196	11	0	-1	-12	-2	-1	-4	82	81	82	82	82	82	15	1000	1000	1000	1000	42959
206	198	197	197	196	199	196	11	0	-1	-11	-2	-1	-4	82	81	82	82	82	82	15	1000	1000	1000	1000	42959
206	198	197	197	196	199	196	13	1	0	-2	0	1	-3	82	81	82	82	82	82	15	1000	1000	1000	1000	42959
206	199	197	197	196	198	197	13	1	0	-2	0	1	-3	82	81	82	82	82	82	15	1000	1000	1000	1000	43728
206	199	197	197	196	198	197	13	1	0	-2	0	1	-3	82	81	82	82	82	82	15	1000	1000	1000	1000	43728
206	199	197	197	196	198	197	13	1	0	-2	0	1	-3	82	81	82	82	82	82	15	1000	1000	1000	1000	43728
206	198	197	197	196	198	197	13	1	0	-1	0	1	-3	82	81	82	82	82	82	15	1000	1000	1000	1000	44502
206	199	197	196	196	198	196	12	2	0	-1	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	44733
206	199	197	196	196	198	196	12	2	0	-1	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	44733
206	199	197	196	196	198	196	12	2	0	-2	0	0	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	44733
206	198	197	197	197	198	196	12	2	0	-2	0	0	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	45514
206	198	197	197	196	198	197	12	2	0	-2	0	0	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	45746
206	198	197	197	196	198	197	12	2	0	-2	0	0	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	45746
206	198	197	197	196	198	197	12	2	0	-2	0	0	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	45746
206	198	197	197	196	199	196	12	2	0	-2	0	0	-3	81	82	82	82	82	82	15	1000	1000	1000	1000	46527
206	198	197	197	196	199	196	12	1	0	-2	0	0	-3	81	82	82	82	82	82	15	1000	1000	1000	1000	46527
206	198	197	197	196	199	196	12	1	0	-2	0	0	-3	81	82	82	82	82	82	15	1000	1000	1000	1000	46527
207	198	197	197	197	199	197	12	1	0	-1	0	1	-3	81	82	82	82	82	82	15	1000	1000	1000	1000	47301
206	198	197	196	196	198	197	12	1	0	-1	0	1	-3	81	82	82	82	82	82	15	1000	1000	1000	1000	47533
206	198	197	196	196	198	197	12	1	0	-1	0	1	-3	81	82	82	82	82	82	15	1000	1000	1000	1000	47533
206	198	197	196	196	198	197	12	1	0	-2	0	1	-3	81	82	82	82	82	82	15	1000	1000	1000	1000	47533
207	199	197	197	196	198	197	12	1	0	-2	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	48312
207	199	197	197	196	198	197	12	1	0	-2	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	48312
207	199	197	197	196	198	197	13	1	0	-2	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	48312
207	199	197	197	196	198	197	13	2	0	-2	0	0	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	48312
207	199	197	197	196	198	197	13	2	0	-2	0	0	-2	82	82	82	82	82	82	15	1000	1000	1000	1000	48312
207	199	197	197	196	198	197	13	2	0	-2	0	0	-2	82	82	82	82	82	82	15	1000	1000	1000	1000	48312
206	200	197	197	197	199	197	13	2	0	-2	0	0	-2	82	82	82	82	82	82	15	1000	1000	1000	1000	49907
207	200	197	196	196	198	197	13	2	0	-2	0	0	-2	82	82	82	82	82	82	15	1000	1000	1000	1000	50139
207	200	197	196	196	198	197	13	3	0	-2	0	0	-2	82	82	82	82	82	82	15	1000	1000	1000	1000	50139
207	200	197	196	196	198	197	13	3	0	-2	0	0	-2	82	82	82	82	82	82	15	1000	1000	1000	1000	50139
206	199	197	197	197	197	197	13	3	0	-2	0	0	-2	82	82	82	82	82	82	15	1000	1000	1000	1000	50919
206	198	197	197	197	198	197	13	3	0	-2	0	0	-2	82	82	82	82	82	82	15	1000	1000	1000	1000	51150
206	198	197	197	197	198	197	13	3	0	-2	1	0	-2	82	82	82	82	82	82	15	1000	1000	1000	1000	51150
206	198	197	197	197	198	197	13	2	0	-2	1	0	-2	82	82	82	82	82	82	15	1000	1000	1000	1000	51150
206	198	197	197	196	198	198	13	2	0	-2	1	0	-2	82	82	82	82	82	82	15	1000	1000	1000	1000	51931
206	198	197	197	196	198	198	12	2	0	-2	1	0	-2	82	82	82	82	82	82	15	1000	1000	1000	1000	51931
206	198	197	197	196	198	198	12	2	0	-2	1	0	-2	82	82	82	82	82	82	15	1000	1000	1000	1000	51931
207	198	197	197	196	198	196	12	2	0	-1	1	0	-2	82	82	82	82	82	82	15	1000	1000	1000	1000	52713
206	198	197	197	196	198	196	12	1	0	-1	1	0	-2	82	82	82	82	82	82	15	1000	1000	1000	1000	52944
206	198	197	197	196	198	196	12	1	0	0	1	0	-2	82	82	82	82	82	82	15	1000	1000	1000	1000	52944
206	198	197	197	196	198	196	12	1	0	0	0	0	-2	82	82	82	82	82	82	15	1000	1000	1000	1000	52944
206	199	197	196	196	198	197	12	1	0	-1	0	0	-2	82	82	82	82	82	82	15	1000	1000	1000	1000	53716
206	198	197	197	197	200	197	12	1	0	-1	0	0	-2	82	82	82	82	82	82	15	1000	1000	1000	1000	53948
206	198	197	197	197	200	197	12	1	0	-1	0	1	-2	82	82	82	82	82	82	15	1000	1000	1000	1000	53948
206	198	197	197	197	200	197	12	1	0	-1	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	53948
206	199	197	197	196	199	196	12	1	0	-1	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	54729
206	199	197	197	196	199	196	12	1	0	-1	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	54729
206	199	197	197	196	199	196	12	2	0	-1	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	54729
206	199	197	197	197	199	197	12	2	0	-1	1	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	55511
206	199	197	197	196	197	197	12	2	0	-1	1	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	55741
206	199	197	197	196	197	197	12	2	0	-1	1	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	55741
206	199	197	197	196	197	197	12	2	0	0	1	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	55741
206	199	198	196	197	198	197	12	2	0	-1	1	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	56523
206	199	198	196	197	198	197	12	2	0	-1	1	0	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	56523
206	199	198	196	197	198	197	12	2	0	-2	1	0	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	56523
207	199	198	197	196	198	197	12	2	1	-2	1	0	-3	82	81	82	82	82	82	15	1000	1000	1000	1000	57300
206	201	197	197	196	199	197	12	3	1	-2	1	0	-2	82	81	82	82	82	82	15	1000	1000	1000	1000	57536
206	201	197	197	196	199	197	12	3	1	-2	1	0	-2	82	81	82	82	82	82	15	1000	1000	1000	1000	57536
206	201	197	197	196	199	197	12	3	1	-2	0	0	-2	82	81	82	82	82	82	15	1000	1000	1000	1000	57536
207	199	197	197	196	198	197	12	3	1	-2	0	0	-2	82	81	82	82	82	82	15	1000	1000	1000	1000	58313
207	199	197	197	196	198	197	12	3	1	-2	0	0	-2	82	81	82	82	82	82	15	1000	1000	1000	1000	58313
207	199	197	197	196	198	197	13	3	1	-2	0	0	-2	82	81	82	82	82	82	15	1000	1000	1000	1000	58313
